Model,Fiyat,Resim_Link,Kaynak_Link,United Kingdom,The Netherlands,Germany,City - Cold Weather *,Highway - Cold Weather *,Combined - Cold Weather *,City - Mild Weather *,Highway - Mild Weather *,Combined - Mild Weather *,First Leg Distance,Charging Stop,Second Leg Distance,Total Distance,First Leg Duration,Second Leg Duration,Total Duration,Nominal Capacity,Battery Type,Number of Cells,Architecture,Warranty Period,Warranty Mileage,Useable Capacity,Cathode Material,Pack Configuration,Nominal Voltage,Form Factor,Name / Reference,Charge Port,Port Location,Charge Power,Charge Time (0->265 km),Charge Speed,Charge Power (max),Charge Power (10-80%),Autocharge Supported,Plug & Charge Supported,Supported Protocol,Preconditioning Possible,Automatically using Navigation,Acceleration 0 - 100 km/h,Top Speed,Electric Range *,Total Power,Total Torque,Drive,V2L Supported,Max. Output Power,Exterior Outlet(s),Interior Outlet(s),V2H via AC Supported,V2H via DC Supported,V2G via AC Supported,V2G via DC Supported,Range *,Vehicle Consumption *,CO2 Emissions,Vehicle Fuel Equivalent *,Range,Rated Consumption,Vehicle Consumption,Rated Fuel Equivalent,Vehicle Fuel Equivalent,Length,Width,Width with mirrors,Height,Wheelbase,Weight Unladen (EU),Gross Vehicle Weight (GVWR),Max. Payload,Cargo Volume,Cargo Volume Max,Cargo Volume Frunk,Roof Load,Tow Hitch Possible,Towing Weight Unbraked,Towing Weight Braked,Vertical Load Max,Seats,Isofix,Turning Circle,Platform,EV Dedicated Platform,Car Body,Segment,Roof Rails,Heat pump (HP),HP Standard Equipment,0,1,2,3,4,5,Useable Capacity*,Charge Time (0->455 km),Total Power *,Total Torque *,Adult Occupant,Child Occupant,Rating Year,Vulnerable Road Users,Safety Assist,Charge Time (0->255 km),Charge Time (0->425 km),City - Cold Weather,Highway - Cold Weather,Combined - Cold Weather,City - Mild Weather,Highway - Mild Weather,Combined - Mild Weather,Charge Time (0->370 km),Electric Range,Weight Measured,Weight Distribution (F/R),Weight Front Axle,Weight Rear Axle,Charge Time (0->230 km),Charge Time (0->205 km),Nominal Capacity							*,Charge Time (0->365 km),Charge Time (0->470 km),Charge Time (0->500 km),Charge Time (0->275 km),Charge Time (0->325 km),Charge Time (0->315 km),Charge Time (0->250 km),Charge Time (0->270 km),Acceleration 0 - 100 km/h *,Charge Time (0->465 km),Charge Time (0->85 km),Port Location 2,Charge Time (0->485 km),Charge Time (0->300 km),Charge Time (0->440 km),Port Location 2 ‡,Charge Time (0->525 km),Charge Time (0->480 km),Charge Time (0->460 km),Charge Time (0->355 km),Charge Time (0->495 km),Charge Time (0->95 km),Charge Time (0->530 km),Charge Time (0->335 km),Charge Time (0->360 km),Charge Time (0->385 km),Charge Time (0->505 km),Charge Time (0->520 km),Charge Time (0->545 km),Charge Time (0->390 km),Charge Time (0->415 km),Charge Power (max) *,Charge Power (10-80%) *,Charge Speed *,Charge Time (0->350 km),Charge Time (0->280 km),Charge Time (0->450 km),Charge Time (0->345 km),Charge Time (0->165 km),Charge Time (0->290 km),Charge Time (0->170 km),Charge Time (0->185 km),Charge Time (0->320 km),Charge Time (0->380 km),Charge Time (0->150 km),Charge Time (0->420 km),Charge Time (0->445 km),Charge Time (0->550 km),Charge Time (0->225 km),Charge Time (0->475 km),Weight Unladen (EU) *,Charge Time (0->435 km),Charge Time (0->310 km),Charge Time (0->285 km),Charge Time (0->540 km),Charge Time (0->400 km),Charge Time (0->180 km),Charge Time (0->405 km),Charge Time (0->235 km),Charge Time (0->720 km),Charge Time (0->295 km),Charge Time (0->490 km),Charge Time (0->135 km),Length *,Width *,Width with mirrors *,Height *,Towing Weight Unbraked *,Towing Weight Braked *,Vertical Load Max *,Charge Time (0->125 km),Charge Time (0->260 km),Charge Time (0->410 km),Rated Consumption *,Rated Fuel Equivalent *,Charge Time (0->565 km),Charge Time (0->160 km),United Kingdom *,Charge Time (0->240 km),Charge Time (0->395 km),Charge Time (0->510 km),Charge Time (0->340 km),Charge Time (0->430 km),Charge Time (0->555 km),Charge Time (0->100 km),Charge Time (0->330 km),Charge Time (0->140 km),Charge Time (0->245 km),The Netherlands *,Charge Time (0->605 km),Charge Time (0->375 km),Charge Time (0->175 km),Charge Time (0->190 km),Charge Time (0->120 km),Charge Time (0->535 km),Charge Time (0->665 km),Charge Time (0->200 km),Charge Time (0->515 km),Charge Time (0->570 km),Charge Time (0->580 km),Charge Time (0->305 km),Charge Time (0->615 km),Charge Time (0->610 km),Germany *,Charge Time (0->220 km),Charge Time (0->590 km),Charge Time (0->575 km),Charge Time (0->640 km),Charge Time (0->215 km),Charge Time (0->560 km),Charge Time (0->585 km),Charge Time (0->685 km),Charge Time (0->210 km),Charge Time (0->635 km),Charge Time (0->600 km),Top Speed *,Charge Time (0->145 km),Charge Time (0->655 km),Charge Time (0->155 km),Charge Time (0->105 km),Charge Time (0->115 km),Charge Power *,Charge Time (0->500 km) *,Charge Time (0->350 km) *,Charge Time (0->670 km),kW_Gucu,Euro_Fiyat,Tahmini_TR_Fiyati_TL
Lucid Gravity Grand Touring (MY26),N/A,,https://ev-database.org/car/3292/Lucid-Gravity-Grand-Touring,Not Available,Since September 2025,Since September 2025,205 Wh/km,273 Wh/km,234 Wh/km,141 Wh/km,214 Wh/km,176 Wh/km,455 km,15 min,274 km,729 km,4h 8min,2h 30min,6h 53min,123.0 kWh,Lithium-ion,No Data,800 V,8 years,"160,000 km",,NMC,No Data,No Data,Cylindrical,No Data,CCS,Left Side - Rear,22 kW AC,,990 km/h,400 kW DC,210 kW DC,Yes,Yes,ISO 15118-2,Yes,Yes,3.6 sec,250 km/h,615 km,617 kW (839 PS),1232 Nm,AWD,Announced,No Data,No Data,No Data,Announced,Announced,Announced,Announced,615 km,200 Wh/km,0 g/km,2.2 l/100km,712 km,191 Wh/km,173 Wh/km,2.1 l/100km,1.9 l/100km,5035 mm,2000 mm,2195 mm,1658 mm,3035 mm,2759 kg,3320 kg,636 kg,1433 L,3398 L,230 L,95 kg,Yes,680 kg,2500 kg,No Data,7 people,"Yes, 2 seats",12.8 m,No Data,Yes,SUV,JF - Luxury,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,123.0 kWh,,,,83%,93%,2025,80%,85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6h45m,,,,,,,,,,,,,,,,,,,,,,,,22.0,0,0
Mercedes-Benz EQE SUV 350 4MATIC (MY25),N/A,,https://ev-database.org/car/3285/Mercedes-Benz-EQE-SUV-350-4MATIC,Since April 2025,Since April 2025,Since April 2025,213 Wh/km,288 Wh/km,245 Wh/km,147 Wh/km,227 Wh/km,185 Wh/km,317 km,15 min,151 km,468 km,2h 53min,1h 23min,4h 31min,,Lithium-ion,No Data,400 V,No Data,No Data,90.6 kWh,No Data,No Data,No Data,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,650 km/h,173 kW DC,141 kW DC,Yes,Yes,ISO 15118-2,Yes,Yes,6.0 sec,210 km/h,435 km,235 kW (320 PS),765 Nm,AWD,No,-,-,-,No,No,No,No,435 km,208 Wh/km,0 g/km,2.3 l/100km,469 km,225 Wh/km,193 Wh/km,2.5 l/100km,2.2 l/100km,4863 mm,1940 mm,2141 mm,1685 mm,3030 mm,2565 kg,3175 kg,685 kg,520 L,1675 L,0 L,100 kg,Yes,750 kg,1800 kg,No Data,5 people,No Data,12.3 m,Mercedes-Benz EVA2,Yes,SUV,JE - Executive,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,87%,90%,2023,80%,85%,,,,,,,,,,,,,,,,,100.0 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9h45m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Tesla Model 3 Standard Range Plus (PANA 2170L),N/A,,https://ev-database.org/car/1485/Tesla-Model-3-Standard-Range-Plus,Feb 2021 - Dec 2021,Feb 2021 - Dec 2021,Feb 2021 - Dec 2021,,,,,,,256 km,15 min,157 km,412 km,2h 19min,1h 25min,3h 59min,,Lithium-ion,2976,400 V,8 years,"160,000 km",,NCA,96s31p,357 V,Cylindrical,Panasonic 2170L,CCS,Left Side - Rear,11 kW AC,,560 km/h,170 kW DC,87 kW DC,Yes,No,-,Yes,Yes,5.6 sec,225 km/h,,,,Rear,No,-,-,-,No,No,No,No,,,0 g/km,,448 km,140 Wh/km,114 Wh/km,1.6 l/100km,1.3 l/100km,4694 mm,1849 mm,2088 mm,1443 mm,2875 mm,1700 kg,2014 kg,389 kg,561 L,977 L,88 L,70 kg,Yes,750 kg,1000 kg,55 kg,5 people,"Yes, 2 seats",11.6 m,Tesla 3/Y,Yes,Sedan,D - Large,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,51.0 kWh,,208 kW (283 PS),420 Nm,96%,86%,2019,74%,94%,,,155 Wh/km,204 Wh/km,176 Wh/km,99 Wh/km,155 Wh/km,124 Wh/km,,350 km,1720 kg,48% / 52%,820 kg,900 kg,,,55.0 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Peugeot e-3008 73 kWh,N/A,,https://ev-database.org/car/2003/Peugeot-e-3008-73-kWh,Since January 2024,Since November 2023,Since November 2023,195 Wh/km,270 Wh/km,228 Wh/km,132 Wh/km,212 Wh/km,170 Wh/km,273 km,15 min,124 km,397 km,2h 29min,1h 8min,3h 52min,,Lithium-ion,96,400 V,8 years,"160,000 km",73.0 kWh,NMC,96s1p,No Data,Prismatic,No Data,CCS,Left Side - Rear,11 kW AC,,440 km/h,160 kW DC,90 kW DC,Yes,No,-,Yes,Yes,8.8 sec,170 km/h,380 km,157 kW (213 PS),345 Nm,Front,Yes,-,1 x Type 2 (Adapter),-,No,No,No,No,380 km,192 Wh/km,0 g/km,2.2 l/100km,512 km,174 Wh/km,143 Wh/km,2.0 l/100km,1.6 l/100km,4542 mm,1895 mm,No Data,1641 mm,2739 mm,2183 kg,2640 kg,532 kg,588 L,1663 L,0 L,80 kg,Yes,750 kg,1250 kg,80 kg,5 people,"Yes, 3 seats",10.6 m,STLA Medium,No,SUV,JC - Medium,No,Yes,Varies by country,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,82%,85%,2025,79%,62%,,,,,,,,,,,,,,,,,77.0 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Zeekr 7X Privilege AWD (MY25),N/A,,https://ev-database.org/car/3083/Zeekr-7X-Privilege-AWD,Not Available,Since May 2025,Since December 2025,,,,,,,355 km,15 min,270 km,625 km,3h 14min,2h 27min,5h 56min,100.0 kWh,Lithium-ion,No Data,800 V,8 years,"200,000 km",,NMC,No Data,685 V,Prismatic,CATL QILIN,CCS,Left Side - Rear,22 kW AC,,1270 km/h,480 kW DC,260 kW DC,Yes,No,-,Yes,Yes,3.8 sec,210 km/h,,470 kW (639 PS),710 Nm,AWD,Yes,-,1 x Type 2 (Adapter),-,No,No,No,No,,,0 g/km,,543 km,199 Wh/km,177 Wh/km,2.2 l/100km,2.0 l/100km,4787 mm,1930 mm,2100 mm,1650 mm,2900 mm,2535 kg,2990 kg,530 kg,539 L,No Data,42 L,75 kg,Yes,750 kg,2000 kg,No Data,5 people,"Yes, 2 seats",11.6 m,Geely SEA3,Yes,SUV,JD - Large,Yes,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,96.0 kWh,,,,91%,90%,2025,78%,83%,,,204 Wh/km,274 Wh/km,234 Wh/km,140 Wh/km,213 Wh/km,175 Wh/km,,485 km,,,,,,,,,,,,,,,,,,,,5h15m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,0,0
Kia EV4 Hatchback 58.3 kWh,N/A,,https://ev-database.org/car/3123/Kia-EV4-Hatchback-583-kWh,Since July 2025,Since July 2025,Since July 2025,159 Wh/km,212 Wh/km,183 Wh/km,104 Wh/km,162 Wh/km,131 Wh/km,265 km,15 min,120 km,385 km,2h 24min,1h 6min,3h 45min,58.3 kWh,Lithium-ion,No Data,400 V,7 years,"150,000 km",,NMC,No Data,369 V,No Data,No Data,CCS,Right Side - Front,11 kW AC,,500 km/h,100 kW DC,80 kW DC,Yes,Yes,ISO 15118-2,Yes,Yes,7.4 sec,170 km/h,360 km,150 kW (204 PS),283 Nm,Front,Yes,-,1 x Type 2 (Adapter),1 x Standard Socket,Announced,No,Announced,No,360 km,153 Wh/km,0 g/km,1.7 l/100km,405 km,159 Wh/km,136 Wh/km,1.8 l/100km,1.5 l/100km,4430 mm,1860 mm,No Data,1485 mm,2820 mm,1805 kg,2270 kg,540 kg,435 L,1415 L,0 L,75 kg,Yes,500 kg,500 kg,100 kg,5 people,"Yes, 2 seats",10.9 m,HMG E-GMP,Yes,Hatchback,C - Medium,No,Varies by country,"No, optional",less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,55.0 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Volkswagen ID.5 Pure (MY26),N/A,,https://ev-database.org/car/3253/Volkswagen-ID5-Pure,Jul 2025 - Apr 2026,Jul 2025 - Mar 2026,Not available to order,168 Wh/km,231 Wh/km,196 Wh/km,111 Wh/km,176 Wh/km,142 Wh/km,230 km,15 min,129 km,359 km,2h 5min,1h 11min,3h 31min,55.0 kWh,Lithium-ion,288,400 V,8 years,"160,000 km",52.0 kWh,NMC,96s3p,352 V,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,510 km/h,145 kW DC,87 kW DC,No,Yes,ISO 15118-2,Yes,Yes,8.9 sec,160 km/h,320 km,125 kW (170 PS),310 Nm,Rear,No,10.0 kW DC,-,-,No,Announced,No,Announced,320 km,163 Wh/km,0 g/km,1.8 l/100km,366 km,178 Wh/km,142 Wh/km,2.0 l/100km,1.6 l/100km,4599 mm,1852 mm,2108 mm,1618 mm,2771 mm,1963 kg,2480 kg,592 kg,549 L,1561 L,0 L,0 kg,Yes,750 kg,1000 kg,75 kg,5 people,"Yes, 3 seats",10.3 m,VAG MEB,Yes,SUV,JC - Medium,Yes,Yes,"No, optional",less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,93%,89%,2021,76%,85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5h45m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
MG MGS5 EV 49 kWh,N/A,,https://ev-database.org/car/3146/MG-MGS5-EV-49-kWh,Since March 2025,Since May 2025,Since May 2025,171 Wh/km,242 Wh/km,200 Wh/km,113 Wh/km,185 Wh/km,147 Wh/km,199 km,15 min,110 km,309 km,1h 48min,1h 0min,3h 3min,49.0 kWh,Lithium-ion,No Data,400 V,7 years,"150,000 km",47.1 kWh,LFP,No Data,No Data,No Data,No Data,CCS,Left Side - Rear,6.6 kW AC,,440 km/h,120 kW DC,80 kW DC,Yes,No,-,Yes,Yes,8.0 sec,170 km/h,275 km,125 kW (170 PS),250 Nm,Rear,Yes,-,1 x Type 2 (Adapter),-,No,No,No,No,275 km,171 Wh/km,0 g/km,1.9 l/100km,340 km,166 Wh/km,139 Wh/km,1.9 l/100km,1.6 l/100km,4476 mm,1849 mm,2094 mm,1621 mm,2730 mm,1710 kg,2080 kg,445 kg,453 L,1441 L,0 L,75 kg,Yes,750 kg,750 kg,30 kg,5 people,"Yes, 2 seats",10.5 m,SAIC MSP,Yes,SUV,JC - Medium,Yes,No,-,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,90%,82%,2025,82%,78%,,,,,,,,,,,,,,,,,,,,,8h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,0,0
Porsche Taycan 4S,N/A,,https://ev-database.org/car/1237/Porsche-Taycan-4S,May 2020 - Jan 2023,May 2020 - Jan 2023,May 2020 - Jan 2023,,,,,,,294 km,15 min,205 km,500 km,2h 41min,1h 52min,4h 48min,79.2 kWh,Lithium-ion,336,800 V,8 years,"160,000 km",71.0 kWh,NMC712,168s2p,615 V,Pouch,No Data,CCS,Passenger Side - Front,11 kW AC,,920 km/h,223 kW DC,171 kW DC,Yes,Yes,ISO 15118-2,Yes,Yes,4.0 sec,250 km/h,,390 kW (530 PS),640 Nm,AWD,No,-,-,-,No,No,No,No,,,0 g/km,,335 km,256 Wh/km,212 Wh/km,2.9 l/100km,2.4 l/100km,4963 mm,1966 mm,2144 mm,1379 mm,2900 mm,2215 kg,2880 kg,740 kg,407 L,No Data,84 L,75 kg,No,0 kg,0 kg,0 kg,5 people,"Yes, 2 seats",11.7 m,VAG J1,Yes,Sedan,F - Luxury,No,Yes,Varies by country,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,85%,83%,2019,70%,73%,,,189 Wh/km,245 Wh/km,212 Wh/km,127 Wh/km,189 Wh/km,156 Wh/km,,395 km,,,,,,,,,,,,,,,,,,,Driver's Side - Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7h45m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Toyota Urban Cruiser 48.8 kWh,N/A,,https://ev-database.org/car/3208/Toyota-Urban-Cruiser-488-kWh,Since December 2025,Since May 2025,Since July 2025,180 Wh/km,252 Wh/km,212 Wh/km,120 Wh/km,195 Wh/km,157 Wh/km,192 km,15 min,56 km,248 km,1h 45min,30min,2h 30min,48.8 kWh,Lithium-ion,96,400 V,10 years,"300,000 km",47.8 kWh,LFP,96s1p,305 V,Prismatic,No Data,CCS,Left Side - Front,11 kW AC,,240 km/h,55 kW DC,45 kW DC,No,No,-,Yes,Yes,9.6 sec,150 km/h,270 km,106 kW (144 PS),193 Nm,Front,No,-,-,-,No,No,No,No,270 km,177 Wh/km,0 g/km,2.0 l/100km,344 km,140 Wh/km,139 Wh/km,1.6 l/100km,1.6 l/100km,4285 mm,1800 mm,2065 mm,1635 mm,2700 mm,1775 kg,2180 kg,480 kg,244 L,562 L,0 L,50 kg,Yes,750 kg,750 kg,75 kg,5 people,"Yes, 2 seats",10.4 m,Suzuki Heartect-E,Yes,SUV,JB - Compact,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,77%,85%,2025,79%,72%,,,,,,,,,,,,,,,,,,,,,,,,,5h15m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Peugeot e-208 51 kWh (MY24),N/A,,https://ev-database.org/car/1949/Peugeot-e-208-51-kWh,Nov 2023 - Apr 2025,Aug 2023 - Apr 2025,Oct 2023 - Apr 2025,158 Wh/km,219 Wh/km,185 Wh/km,102 Wh/km,166 Wh/km,132 Wh/km,225 km,15 min,114 km,338 km,2h 3min,1h 2min,3h 20min,51.0 kWh,Lithium-ion,96,400 V,8 years,"160,000 km",48.1 kWh,NMC811,96s1p,355 V,Prismatic,No Data,CCS,Left Side - Rear,7.4 kW AC,,470 km/h,100 kW DC,76 kW DC,Yes,No,-,No,No,8.2 sec,150 km/h,315 km,115 kW (156 PS),260 Nm,Front,No,-,-,-,No,No,No,No,315 km,153 Wh/km,0 g/km,1.7 l/100km,398 km,145 Wh/km,121 Wh/km,1.6 l/100km,1.4 l/100km,4055 mm,1745 mm,1960 mm,1430 mm,2540 mm,1530 kg,1910 kg,455 kg,309 L,1118 L,0 L,70 kg,No,0 kg,0 kg,0 kg,5 people,"Yes, 2 seats",10.4 m,PSA e-CMP,No,Hatchback,B - Compact,No,Yes,Varies by country,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7h45m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,0,0
Tesla Model Y RWD (BYD LFP),N/A,,https://ev-database.org/car/1974/Tesla-Model-Y-RWD,Nov 2022 - Oct 2024,Nov 2022 - Jan 2025,Nov 2022 - Jan 2025,,,,,,,253 km,15 min,176 km,429 km,2h 18min,1h 36min,4h 9min,,Lithium-ion,105,400 V,8 years,"160,000 km",,LFP,105s1p,No Data,Prismatic,BYD BLADE,CCS,Left Side - Rear,11 kW AC,,800 km/h,175 kW DC,140 kW DC,Yes,No,-,Yes,Yes,6.9 sec,217 km/h,,220 kW (299 PS),420 Nm,Rear,No,-,-,-,No,No,No,No,,,0 g/km,,430 km,No Data,133 Wh/km,No Data,1.5 l/100km,4751 mm,1921 mm,2129 mm,1624 mm,2890 mm,1992 kg,2456 kg,539 kg,854 L,2158 L,117 L,75 kg,Yes,750 kg,1600 kg,72 kg,5 people,"Yes, 2 seats",12.1 m,Tesla 3/Y,Yes,SUV,JD - Large,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,57.0 kWh,,,,97%,87%,2022,79%,98%,,,173 Wh/km,228 Wh/km,197 Wh/km,113 Wh/km,178 Wh/km,143 Wh/km,,345 km,,,,,,,60.0 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6h15m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Škoda Enyaq iV 80x (MY21-23),N/A,,https://ev-database.org/car/1281/Skoda-Enyaq-iV-80x,Oct 2021 - Oct 2023,Nov 2021 - Jul 2022,Jun 2021 - Jan 2023,186 Wh/km,252 Wh/km,214 Wh/km,124 Wh/km,195 Wh/km,157 Wh/km,310 km,15 min,148 km,458 km,2h 49min,1h 20min,4h 24min,82.0 kWh,Lithium-ion,288,400 V,8 years,"160,000 km",77.0 kWh,NMC,96s3p,352 V,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,540 km/h,175 kW DC,103 kW DC,No,Yes,ISO 15118-2,No,No,6.9 sec,160 km/h,425 km,195 kW (265 PS),425 Nm,AWD,No,10.0 kW DC,-,-,No,Announced,No,Announced,425 km,181 Wh/km,0 g/km,2.0 l/100km,468 km,No Data,165 Wh/km,No Data,1.8 l/100km,4653 mm,1879 mm,2148 mm,1604 mm,2764 mm,2193 kg,2746 kg,628 kg,585 L,1710 L,0 L,75 kg,Yes,750 kg,1200 kg,75 kg,5 people,"Yes, 3 seats",10.8 m,VAG MEB,Yes,SUV,JC - Medium,Yes,Yes,"No, optional",less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,94%,89%,2021,71%,82%,,8h15m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Nissan LEAF e+ 62 kWh (MY19-22),N/A,,https://ev-database.org/car/1144/Nissan-LEAF-eplus-62-kWh,Jun 2019 - Mar 2022,Jun 2019 - Apr 2022,Jun 2019 - Apr 2022,,,,,,,248 km,15 min,48 km,297 km,2h 15min,26min,2h 56min,62.0 kWh,Lithium-ion,288,400 V,8 years,"160,000 km",59.0 kWh,NMC532,96s3p,350 V,Pouch,No Data,CHAdeMO,Front Side - Middle,6.6 kW AC,,240 km/h,46 kW DC,44 kW DC,No,No,-,No,No,7.3 sec,157 km/h,,160 kW (218 PS),340 Nm,Front,No,7.0 kW DC,-,-,No,Yes,No,Yes,,,0 g/km,,385 km,185 Wh/km,153 Wh/km,2.1 l/100km,1.7 l/100km,4490 mm,1788 mm,No Data,1545 mm,2700 mm,1756 kg,2140 kg,459 kg,420 L,1161 L,No Data,35 kg,No,0 kg,0 kg,0 kg,5 people,"Yes, 2 seats",10.6 m,Nissan LEAF,Yes,Hatchback,C - Medium,No,Yes,Varies by country,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,93%,86%,2018,71%,71%,,,174 Wh/km,241 Wh/km,203 Wh/km,116 Wh/km,187 Wh/km,149 Wh/km,,345 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10h45m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,0,0
